ENV,GEN,REP,BLOCK,YLD
AguaFria,18,1,1,7.97
AguaFria,19,1,3,9.78
AguaFria,20,1,5,7.61
AguaFria,21,1,1,9.42
AguaFria,22,1,6,7.97
AguaFria,23,1,3,7.61
AguaFria,24,1,6,7.97
AguaFria,25,1,5,7.97
AguaFria,26,1,5,9.42
AguaFria,27,1,4,9.42
AguaFria,28,1,5,7.61
AguaFria,29,1,1,6.52
AguaFria,30,1,3,8.7
AguaFria,2,2,5,7.97
AguaFria,3,2,1,9.06
AguaFria,4,2,3,9.06
AguaFria,5,2,1,9.42
AguaFria,6,2,6,9.78
AguaFria,7,2,6,9.06
AguaFria,8,2,1,8.33
AguaFria,9,2,5,6.52
AguaFria,10,2,2,8.7
AguaFria,11,2,2,7.97
AguaFria,12,2,4,8.33
AguaFria,13,2,2,9.42
AguaFria,14,2,3,7.97
AguaFria,15,2,3,9.78
AguaFria,16,2,3,9.42
AguaFria,17,2,5,9.78
AguaFria,18,2,5,9.06
AguaFria,19,2,3,7.97
AguaFria,20,2,6,8.7
AguaFria,21,2,6,9.06
AguaFria,22,2,6,6.52
AguaFria,23,2,4,5.8
AguaFria,24,2,1,9.42
AguaFria,25,2,4,7.61
AguaFria,26,2,2,7.97
AguaFria,27,2,4,8.7
AguaFria,28,2,5,8.33
AguaFria,29,2,1,6.52
AguaFria,30,2,2,8.7
Tlatizapan,2,1,4,2.25
Tlatizapan,3,1,2,1.5
Tlatizapan,4,1,1,1.83
Tlatizapan,5,1,4,2.67
Tlatizapan,6,1,1,2.5
Tlatizapan,7,1,5,1.5
Tlatizapan,8,1,5,1.5
Tlatizapan,9,1,6,2.33
Tlatizapan,10,1,4,1.67
Tlatizapan,11,1,1,2.33
Tlatizapan,12,1,5,2.67
Tlatizapan,13,1,5,2.33
Tlatizapan,14,1,3,2.33
Tlatizapan,15,1,3,2.5
Tlatizapan,16,1,3,2.42
Tlatizapan,17,1,2,1.67
Tlatizapan,18,1,2,0.42
Tlatizapan,19,1,6,1.67
Tlatizapan,20,1,2,1.17
Tlatizapan,21,1,4,2.83
Tlatizapan,22,1,1,2.17
Tlatizapan,23,1,5,1.83
Tlatizapan,24,1,2,1.17
Tlatizapan,25,1,1,1.67
Tlatizapan,26,1,6,1.83
Tlatizapan,27,1,4,1.33
Tlatizapan,28,1,3,2.5
Tlatizapan,29,1,6,2.5
Tlatizapan,30,1,3,2.17
Tlatizapan,2,2,5,2.17
Tlatizapan,3,2,5,2.58
Tlatizapan,4,2,4,2.75
Tlatizapan,5,2,3,3.33
Tlatizapan,6,2,1,2.17
Tlatizapan,7,2,1,2
Tlatizapan,8,2,2,2.33
Tlatizapan,9,2,4,2.83
Tlatizapan,10,2,6,2
Tlatizapan,11,2,3,2.75
Tlatizapan,12,2,5,2.08
Tlatizapan,13,2,3,2.83
Tlatizapan,14,2,2,2
Tlatizapan,15,2,1,1.17
Tlatizapan,16,2,4,2.67
Tlatizapan,17,2,1,2
Tlatizapan,18,2,6,2
Tlatizapan,19,2,1,1.33
Tlatizapan,20,2,2,1.33
Tlatizapan,21,2,4,2.17
Tlatizapan,22,2,2,2.25
Tlatizapan,23,2,6,2.25
Tlatizapan,24,2,4,2
Tlatizapan,25,2,5,2.33
Tlatizapan,26,2,5,2.5
Tlatizapan,27,2,2,0.83
Tlatizapan,28,2,3,2
Tlatizapan,29,2,3,2.58
Tlatizapan,30,2,6,1.67
Celaya,2,1,6,2.33
Celaya,3,1,4,5
Celaya,4,1,5,2.67
Celaya,5,1,2,0.42
Celaya,6,1,3,3.33
Celaya,7,1,6,1.83
Celaya,8,1,4,3.33
Celaya,9,1,1,1.17
Celaya,10,1,5,3.5
Celaya,11,1,5,2.5
Celaya,12,1,3,1.83
Celaya,13,1,2,0.42
Celaya,14,1,6,4.17
Celaya,15,1,1,3.67
Celaya,16,1,4,4.33
Celaya,17,1,3,1.67
Celaya,18,1,5,1.67
Celaya,19,1,2,0.42
Celaya,20,1,1,1.5
Celaya,21,1,4,3.17
Celaya,22,1,5,2.5
Celaya,23,1,6,3.5
Celaya,24,1,1,1.83
Celaya,25,1,2,0.42
Celaya,26,1,1,3.33
Celaya,27,1,6,3.33
Celaya,28,1,3,2.33
Celaya,29,1,4,3
Celaya,30,1,3,0.42
Celaya,2,2,3,4.17
Celaya,3,2,4,4.5
Celaya,4,2,1,3.5
Celaya,5,2,4,3.67
Celaya,6,2,5,3
Celaya,7,2,4,2.83
Celaya,8,2,3,4.67
Celaya,9,2,2,4
Celaya,10,2,4,3.17
Celaya,11,2,2,5.33
